        f (GHz),               Φ_pow[1] (W),               Φ_pow[2] (W),               Φ_pow[3] (W)
 2.43637000e+00,        +6.480180260211e-04,        +1.335704904616e-03,        -1.015102939287e-04
 2.43637500e+00,        +6.499715337639e-04,        +1.335847284523e-03,        -1.015265272467e-04
 2.43638000e+00,        +6.519370824044e-04,        +1.335990227728e-03,        -1.015428314869e-04
 2.43638500e+00,        +6.539147718148e-04,        +1.336133737084e-03,        -1.015592071315e-04
 2.43639000e+00,        +6.559047029075e-04,        +1.336277816965e-03,        -1.015756546865e-04
 2.43639500e+00,        +6.579069776482e-04,        +1.336422469986e-03,        -1.015921746509e-04
 2.43640000e+00,        +6.599216990685e-04,        +1.336567700359e-03,        -1.016087675231e-04
 2.43640500e+00,        +6.619489712798e-04,        +1.336713511287e-03,        -1.016254338152e-04
 2.43641000e+00,        +6.639888994866e-04,        +1.336859906705e-03,        -1.016421740473e-04
 2.43641500e+00,        +6.660415900006e-04,        +1.337006890041e-03,        -1.016589887286e-04
 2.43642000e+00,        +6.681071502544e-04,        +1.337154465143e-03,        -1.016758783940e-04
 2.43642500e+00,        +6.701856888161e-04,        +1.337302635948e-03,        -1.016928435614e-04
 2.43643000e+00,        +6.722773154039e-04,        +1.337451405437e-03,        -1.017098847736e-04
 2.43643500e+00,        +6.743821408990e-04,        +1.337600777915e-03,        -1.017270025633e-04
 2.43644000e+00,        +6.765002773641e-04,        +1.337750757066e-03,        -1.017441974804e-04
 2.43644500e+00,        +6.786318380541e-04,        +1.337901347150e-03,        -1.017614700708e-04
 2.43645000e+00,        +6.807769374354e-04,        +1.338052551525e-03,        -1.017788208849e-04
 2.43645500e+00,        +6.829356911980e-04,        +1.338204374035e-03,        -1.017962504870e-04
 2.43646000e+00,        +6.851082162741e-04,        +1.338356819157e-03,        -1.018137594358e-04
 2.43646500e+00,        +6.872946308528e-04,        +1.338509890361e-03,        -1.018313483051e-04
 2.43647000e+00,        +6.894950543958e-04,        +1.338663591834e-03,        -1.018490176740e-04
 2.43647500e+00,        +6.917096076556e-04,        +1.338817927701e-03,        -1.018667681162e-04
 2.43648000e+00,        +6.939384126907e-04,        +1.338972901893e-03,        -1.018846002207e-04
